country,director,genre,language,rating,runtime,titleC
瑞典,汉内斯·赫尔姆,剧情,瑞典语 / 波斯语,8.7,116分钟,一个叫欧维的男人决定去死 En man som heter Ove
印度,卡比尔·汗,"剧情,喜剧,动作",印地语 / 乌尔都语,8.5,159分钟,小萝莉的猴神大叔 Bajrangi Bhaijaan
法国 / 美国 / 意大利,吕克·贝松,"剧情,爱情",法语 / 英语 / 意大利语,8.7,132分钟(法国),碧海蓝天 Le grand bleu
意大利,保罗·格诺维塞,"剧情,喜剧",意大利语,8.6,97分钟,完美陌生人 Perfetti sconosciuti
日本,新海诚,"剧情,爱情,动画",日语,8.4,106分钟,你的名字。 君の名は。
美国 / 法国,雷德利·斯科特,"剧情,惊悚,犯罪",英语,8.7,130 分钟,末路狂花 Thelma & Louise
美国 / 加拿大,邓肯·琼斯,"科幻,悬疑,惊悚",英语,8.3,93分钟,源代码 Source Code
美国 / 法国,詹姆斯·卡梅隆,"动作,科幻",英语 / 西班牙语,8.6,137分钟,终结者2：审判日 Terminator 2: Judgment Day
日本,新海诚,"剧情,爱情,动画",日语,8.3,63分钟,秒速5厘米 秒速5センチメートル
美国 / 澳大利亚,"莉莉·沃卓斯基,拉娜·沃卓斯基","动作,科幻",英语 / 法语,8.5,129 分钟,黑客帝国3：矩阵革命 The Matrix Revolutions
香港 / 中国大陆,李惠民,"剧情,动作,武侠,古装",汉语普通话 / 粤语,8.5,88分钟,新龙门客栈 新龍門客棧
美国,弗兰克·德拉邦特,"剧情,悬疑,犯罪,奇幻",英语 / 法语,8.7,189 分钟,绿里奇迹 The Green Mile
英国 / 德国 / 法国,理查德·柯蒂斯,"剧情,喜剧,音乐",英语,8.6,116 分钟,海盗电台 The Boat That Rocked
美国,理查德·沙因克曼,"剧情,科幻",英语,8.5,87 分钟,这个男人来自地球 The Man from Earth
美国,迈克尔·贝,"动作,冒险",英语,8.5,136分钟,勇闯夺命岛 The Rock
美国,查理·卓别林,"剧情,喜剧,爱情",英语,9.2,87 分钟,城市之光 City Lights
美国,迈克尔·柯蒂兹,"剧情,爱情,战争",英语 / 法语 / 德语 / 意大利语,8.6,102 分钟,卡萨布兰卡 Casablanca
美国 / 德国,昆汀·塔伦蒂诺,"剧情,犯罪",英语 / 德语 / 法语 / 意大利语,8.4,153分钟,无耻混蛋 Inglourious Basterds
泰国,"普特鹏·普罗萨卡·那·萨克那卡林,华森·波克彭","剧情,喜剧,爱情",泰语 / 印度尼西亚语 / 英语,8.2,118分钟(泰国),初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก
美国,吴宇森,"动作,科幻,惊悚,犯罪",英语 / 拉丁语,8.4,138分钟,变脸 Face/Off
英国 / 美国,斯坦利·库布里克,"剧情,科幻,犯罪",英语,8.4,136 分钟,发条橙 A Clockwork Orange
美国,史蒂文·斯皮尔伯格,"剧情,科幻",英语,8.5,115分钟,E.T. 外星人 E.T.: The Extra-Terrestrial
意大利 / 西班牙 / 西德,赛尔乔·莱翁内,"西部,冒险",意大利语 / 英语,9.1,161 分钟,"黄金三镖客 Il buono, il brutto, il cattivo."
美国,理查德·林克莱特,"剧情,爱情",英语 / 希腊语 / 法语,8.8,109分钟,爱在午夜降临前 Before Midnight
美国,萨姆·门德斯,"剧情,爱情,家庭",英语,8.4,122分钟,美国丽人 American Beauty
美国,西恩·潘,"剧情,传记,冒险",英语 / 丹麦语,8.6,148分钟,荒野生存 Into the Wild
法国 / 德国 / 意大利 / 西班牙 / 瑞士,"雅克·贝汉, 雅克·克鲁奥德,米歇尔·德巴",纪录片,法语,9.1,98分钟(法国),迁徙的鸟 Le peuple migrateur
美国,瑞奇·摩尔,"喜剧,动画,奇幻,冒险",英语,8.6,101分钟,无敌破坏王 Wreck-It Ralph
日本,是枝裕和,"剧情,家庭",日语,8.8,115分钟,步履不停 歩いても 歩いても
中国大陆 / 香港,宁浩,"喜剧,犯罪",汉语普通话 / 重庆话,8.2,106 分钟(香港),疯狂的石头
美国 / 英国,安东尼·明格拉,"剧情,爱情,战争",英语 / 德语 / 意大利语 / 阿拉伯语,8.4,162分钟,英国病人 The English Patient
日本,岩井俊二,"剧情,犯罪",日语 / 粤语 / 英语 / 汉语普通话,8.6,148分钟,燕尾蝶 スワロウテイル
德国 / 美国,布莱恩·辛格,"剧情,悬疑,惊悚,犯罪",英语 / 匈牙利语 / 西班牙语 / 法语,8.6,106分钟,非常嫌疑犯 The Usual Suspects
美国 / 英国,詹姆斯·沃德·布柯特,"科幻,悬疑,惊悚",英语,8.4,89分钟,彗星来的那一夜 Coherence
